Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	3358	0.982	656.585	19.553%	87.284	19.26%	0.0324
PGENE_2T	78	0.849	60.654	77.762%	10.465	53.404%	0.5754
PGENE_4T	11503	0.997	1154.774	10.039%	231.992	7.348%	0.009
PGENE_5T	3212	0.991	439.919	13.696%	62.274	13.067%	0.0193
PGENE_6T	611	0.957	170.155	27.849%	24.119	28.988%	0.0876
PGENE_8T	2561	0.993	345.155	13.477%	52.458	11.988%	0.0197
PGENE_9T	856	0.97	201.549	23.545%	31.417	24.573%	0.0588
PGENE_10T	947	0.953	268.238	28.325%	37.298	30.262%	0.0653
AC_WGS_1T	1819	0.987	300.023	16.494%	39.709	15.954%	0.026
AC_WGS_2T	24682	1.0	126.519	0.513%	22.08	0.352%	0.0
AC_WGS_4	2094	0.985	426.015	20.345%	60.929	17.736%	0.0372
AC_WGS_5	8904	0.999	388.845	4.367%	67.5	4.772%	0.0019
AC_WGS_6	6623	0.975	1162.296	17.549%	188.539	22.509%	0.0385
AC_WGS_9T	3208	0.977	571.955	17.829%	89.179	21.207%	0.0275
AC_WGS_10	3908	0.991	504.611	12.912%	73.132	13.719%	0.0162
AC_WGS_44	36	0.578	48.16	133.778%	7.608	82.039%	1.219
AC_WGS_12	1535	0.988	259.378	16.898%	38.645	15.61%	0.0348
AC_WGS_13T	10521	1.0	87.975	0.836%	24.385	0.815%	0.0001
AC_WGS_15	1128	0.972	273.082	24.209%	36.035	23.608%	0.0494
AC_WGS_17	2824	0.996	309.242	10.95%	39.417	8.75%	0.0135
AC_WGS_18T	27	0.487	40.344	149.422%	7.579	87.515%	1.4972
AC_WGS_20T	45	0.6	51.878	115.284%	9.328	80.283%	1.1274
AC_WGS_22	2804	0.985	471.239	16.806%	65.942	17.115%	0.0243
AC_WGS_23	7865	0.993	906.536	11.526%	125.281	11.49%	0.0122
AC_WGS_24	92	0.709	80.418	87.411%	12.658	70.54%	0.6613
AC_WGS_25	1145	0.975	268.193	23.423%	35.341	22.317%	0.0522
AC_WGS_26	734	0.959	204.365	27.843%	27.018	28.298%	0.0746
AC_WGS_27	1590	0.964	385.733	24.26%	62.122	26.778%	0.057
AC_WGS_30	5311	0.97	968.794	18.241%	167.22	24.186%	0.0308
AC_WGS_31	35	0.588	41.664	119.04%	7.313	81.256%	1.1165
AC_WGS_32	4184	0.983	700.122	16.733%	100.779	18.886%	0.0237
AC_WGS_33	20315	0.999	1079.112	5.312%	190.723	4.796%	0.0027
AC_WGS_34	5428	0.99	860.638	15.856%	153.495	14.353%	0.0233
AC_WGS_35	214	0.88	114.283	53.403%	15.949	47.614%	0.2954
AC_WGS_36	4092	0.991	634.824	15.514%	98.067	13.37%	0.0201
AC_WGS_39	3772	0.99	521.433	13.824%	73.801	14.547%	0.0187
AC_WGS_40	31	0.408	45.332	146.232%	9.97	91.395%	1.6668
AC_WGS_41	10093	0.995	1163.215	11.525%	179.484	10.669%	0.0111
AC_WGS_42	24	0.413	34.559	143.996%	8.369	91.313%	1.6186
AC_WGS_43	64	0.728	59.888	93.575%	8.511	68.584%	0.791
AC_WGS_45	36	0.595	43.7	121.389%	6.946	80.746%	1.1194
AC_WGS_46	49	0.613	56.176	114.645%	8.478	79.058%	1.0742
AC_WGS_49	2314	0.992	350.909	15.165%	45.664	12.901%	0.0265
AC_WGS_50	8271	0.996	667.927	8.076%	100.315	9.207%	0.0058
AC_WGS_51	1950	0.984	355.342	18.223%	47.985	17.901%	0.0303
AC_WGS_52	3902	0.991	505.153	12.946%	71.185	13.141%	0.0173
AC_WGS_53	580	0.978	145.899	25.155%	20.092	21.021%	0.0902
AC_WGS_11	3303	0.996	368.036	11.142%	50.499	9.261%	0.0127
AC_WGS_37	631	0.958	208.63	33.063%	30.164	28.746%	0.1213
RC596TH1	2476	0.993	401.128	16.201%	96.192	12.879%	0.0221
RC597TH1	1009	0.987	227.394	22.537%	37.129	17.331%	0.0522
RC598TH1	985	0.962	276.056	28.026%	43.412	27.566%	0.075
RC599TH1	3205	0.979	612.886	19.123%	84.511	20.356%	0.0312
RC602TH1	1818	0.986	375.187	20.637%	54.477	17.027%	0.0567
RC603TH1	44688	1.0	1986.696	4.446%	343.114	3.112%	0.0032
