Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.604	14.628	146.28%	3.354	96.822%	1.9529
PGENE_2T	1	0.998	0.49	49.0%	0.249	24.9%	0.2812
PGENE_4T	118	0.998	39.798	33.727%	10.509	10.923%	0.2315
PGENE_5T	4	0.535	5.943	148.575%	1.693	84.65%	1.7213
PGENE_8T	23	0.826	22.782	99.052%	5.174	56.792%	0.9656
PGENE_9T	6	0.628	8.51	141.833%	2.559	80.923%	1.4521
PGENE_10T	5	0.513	7.977	159.54%	2.276	86.025%	1.7455
AC_WGS_1T	5	0.246	9.141	182.82%	2.584	97.666%	2.5158
AC_WGS_2T	231	0.968	67.01	29.009%	15.481	26.001%	0.109
AC_WGS_4	20	0.99	11.897	59.485%	2.777	19.539%	0.5516
AC_WGS_5	215	0.999	16.345	7.602%	6.972	5.374%	0.0066
AC_WGS_6	30	0.885	23.067	76.89%	3.905	46.674%	0.6269
AC_WGS_9T	14	0.747	14.778	105.557%	3.154	67.244%	1.0705
AC_WGS_10	20	0.839	18.904	94.52%	3.715	54.775%	1.0083
AC_WGS_44	1	0.156	1.937	193.7%	0.989	98.9%	3.4653
AC_WGS_12	8	0.869	7.335	91.688%	2.376	50.656%	1.1803
AC_WGS_13T	11	0.54	14.4	130.909%	2.811	84.755%	1.4661
AC_WGS_15	3	0.897	1.958	65.267%	1.022	45.705%	1.2026
AC_WGS_17	18	0.797	18.0	100.0%	3.725	60.427%	0.9394
AC_WGS_22	4	0.564	5.708	142.7%	1.655	82.75%	1.7467
AC_WGS_23	57	0.988	26.61	46.684%	5.09	15.977%	0.3462
AC_WGS_25	9	0.722	11.191	124.344%	2.54	70.447%	1.2791
AC_WGS_26	2	0.762	2.27	113.5%	0.956	67.599%	1.3007
AC_WGS_27	9	0.594	10.369	115.211%	3.895	81.216%	1.242
AC_WGS_30	9	0.364	13.821	153.567%	3.147	94.886%	2.1878
AC_WGS_32	27	0.79	25.133	93.085%	4.89	62.61%	0.7654
AC_WGS_33	248	0.998	62.975	25.393%	12.4	9.046%	0.101
AC_WGS_34	24	0.781	22.188	92.45%	3.852	62.488%	0.7487
AC_WGS_35	1	0.998	0.49	49.0%	0.249	24.9%	0.2812
AC_WGS_36	13	0.639	14.74	113.385%	3.531	77.053%	1.2704
AC_WGS_39	9	0.425	13.612	151.244%	3.289	91.22%	1.8788
AC_WGS_41	39	0.912	30.85	79.103%	5.654	44.56%	0.5712
AC_WGS_49	9	0.719	10.807	120.078%	2.521	69.92%	1.3287
AC_WGS_50	59	0.879	38.974	66.058%	6.802	47.741%	0.4324
AC_WGS_51	15	0.931	14.375	95.833%	3.282	42.022%	0.8724
AC_WGS_52	19	0.942	15.272	80.379%	3.373	34.248%	0.7603
AC_WGS_53	6	0.869	5.866	97.767%	2.296	66.28%	1.7097
AC_WGS_11	12	0.522	15.851	132.092%	3.262	87.181%	1.46
AC_WGS_37	6	0.791	7.203	120.05%	1.794	63.427%	1.2536
RC596TH1	10	0.388	15.356	153.56%	3.555	95.011%	1.8018
RC597TH1	6	0.494	8.812	146.867%	2.207	90.1%	1.872
RC598TH1	6	0.717	7.711	128.517%	2.655	93.868%	2.1554
RC599TH1	9	0.454	13.612	151.244%	3.018	90.996%	1.7851
RC602TH1	19	0.934	15.303	80.542%	3.198	35.98%	0.7883
RC603TH1	345	0.999	58.845	17.057%	12.377	5.7%	0.0552
