Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.797	9.493	94.93%	2.095	60.477%	0.9106
PGENE_2T	1	1.0	0.108	10.8%	0.055	5.5%	0.0555
PGENE_4T	118	0.999	18.195	15.419%	3.572	3.713%	0.1208
PGENE_5T	4	0.681	5.519	137.975%	1.533	76.65%	1.4887
PGENE_8T	23	0.958	16.749	72.822%	3.245	35.619%	0.5073
PGENE_9T	6	0.824	7.395	123.25%	2.075	65.617%	1.1163
PGENE_10T	5	0.846	6.247	124.94%	1.688	63.8%	1.0699
AC_WGS_1T	5	0.79	6.314	126.28%	1.708	64.556%	1.4314
AC_WGS_2T	231	1.0	8.158	3.532%	1.309	2.199%	0.0104
AC_WGS_4	20	0.993	9.889	49.445%	2.936	20.658%	0.3919
AC_WGS_5	215	1.0	2.295	1.067%	0.395	0.304%	0.0028
AC_WGS_6	30	0.925	19.046	63.487%	3.181	38.02%	0.5485
AC_WGS_9T	14	0.858	12.487	89.193%	2.566	54.707%	0.7483
AC_WGS_10	20	0.929	15.182	75.91%	2.67	39.367%	0.6626
AC_WGS_44	1	0.216	1.908	190.8%	0.976	97.6%	3.0773
AC_WGS_12	8	0.975	5.839	72.988%	1.621	34.56%	0.5316
AC_WGS_13T	11	0.677	12.189	110.809%	2.444	73.689%	1.1797
AC_WGS_15	3	0.903	2.058	68.6%	0.964	43.111%	0.9496
AC_WGS_17	18	0.938	12.348	68.6%	2.337	37.911%	0.5424
AC_WGS_22	4	0.812	3.887	97.175%	1.216	60.8%	0.9996
AC_WGS_23	57	0.997	14.178	24.874%	2.526	7.929%	0.1751
AC_WGS_25	9	0.859	7.956	88.4%	1.868	51.809%	0.9453
AC_WGS_26	2	0.503	3.401	170.05%	1.256	88.813%	2.3827
AC_WGS_27	9	0.974	7.017	77.967%	1.786	37.241%	0.5119
AC_WGS_30	9	0.452	13.019	144.656%	2.985	90.001%	1.892
AC_WGS_32	27	0.926	17.882	66.23%	3.037	38.885%	0.4755
AC_WGS_33	248	0.999	49.748	20.06%	7.973	5.816%	0.0942
AC_WGS_34	24	0.901	15.699	65.412%	2.681	43.492%	0.5418
AC_WGS_35	1	1.0	0.108	10.8%	0.055	5.5%	0.0555
AC_WGS_36	13	0.892	10.759	82.762%	2.121	46.284%	0.7701
AC_WGS_39	9	0.857	9.152	101.689%	1.987	55.109%	0.9928
AC_WGS_41	39	0.952	25.46	65.282%	4.571	36.025%	0.4505
AC_WGS_49	9	0.871	8.042	89.356%	1.836	50.921%	0.8216
AC_WGS_50	59	0.937	32.404	54.922%	5.183	36.378%	0.3505
AC_WGS_51	15	0.978	10.97	73.133%	2.682	34.339%	0.5195
AC_WGS_52	19	0.965	11.235	59.132%	2.594	26.338%	0.5846
AC_WGS_53	6	0.874	5.69	94.833%	1.905	54.993%	1.3971
AC_WGS_11	12	0.785	11.344	94.533%	2.328	62.218%	0.9044
AC_WGS_37	6	0.862	4.999	83.317%	1.447	51.159%	0.9378
RC596TH1	10	0.74	10.054	100.54%	2.524	67.457%	1.0433
RC597TH1	6	0.667	7.254	120.9%	1.83	74.709%	1.3794
RC598TH1	6	0.731	7.378	122.967%	1.946	68.801%	1.9069
RC599TH1	9	0.792	9.258	102.867%	2.035	61.358%	1.046
RC602TH1	19	0.975	12.237	64.405%	2.351	26.451%	0.515
RC603TH1	345	1.0	41.068	11.904%	6.631	3.054%	0.039
