Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	811	1.0	69.009	8.509%	15.837	3.083%	0.0373
PGENE_2T	1005	1.0	50.427	5.018%	20.277	2.978%	0.0151
PGENE_4T	1075	1.0	72.177	6.714%	13.527	2.037%	0.0292
PGENE_5T	923	0.997	138.333	14.987%	39.878	8.089%	0.0494
PGENE_6T	775	1.0	60.063	7.75%	16.605	3.448%	0.0318
PGENE_8T	644	0.996	111.759	17.354%	35.023	9.429%	0.0586
PGENE_9T	956	0.999	91.606	9.582%	27.514	4.504%	0.0327
PGENE_10T	1095	0.999	103.493	9.451%	33.024	4.554%	0.0343
AC_WGS_1T	1451	1.0	82.14	5.661%	17.824	2.014%	0.0207
AC_WGS_2T	1549	0.999	230.377	14.873%	56.223	6.923%	0.0421
AC_WGS_4	1314	0.999	139.022	10.58%	43.106	5.166%	0.0302
AC_WGS_5	1520	1.0	143.835	9.463%	34.292	4.142%	0.0213
AC_WGS_6	1765	1.0	75.753	4.292%	14.072	1.308%	0.015
AC_WGS_9T	1785	0.999	177.12	9.923%	72.065	6.086%	0.0222
AC_WGS_10	1203	0.999	115.316	9.586%	26.094	3.91%	0.0311
AC_WGS_44	1301	1.0	50.069	3.849%	14.516	1.659%	0.0144
AC_WGS_12	1070	0.999	104.036	9.723%	33.967	5.104%	0.0397
AC_WGS_13T	1273	0.999	121.822	9.57%	31.405	4.373%	0.0258
AC_WGS_15	1511	1.0	77.33	5.118%	18.296	1.868%	0.024
AC_WGS_17	1260	1.0	57.229	4.542%	11.448	1.444%	0.0203
AC_WGS_18T	1378	0.999	88.102	6.393%	36.081	4.046%	0.0159
AC_WGS_20T	1146	1.0	27.886	2.433%	6.172	0.842%	0.0139
AC_WGS_22	1036	0.999	95.093	9.179%	19.404	3.346%	0.0376
AC_WGS_23	1559	0.999	138.056	8.855%	31.683	3.723%	0.0278
AC_WGS_24	584	1.0	34.797	5.958%	10.631	2.97%	0.0309
AC_WGS_25	1288	1.0	89.477	6.947%	27.139	3.251%	0.0264
AC_WGS_26	1179	0.997	124.126	10.528%	59.951	8.083%	0.0292
AC_WGS_27	1253	1.0	75.397	6.017%	17.529	2.278%	0.0234
AC_WGS_30	1358	0.999	123.497	9.094%	30.958	3.935%	0.0281
AC_WGS_31	1566	1.0	81.873	5.228%	29.244	2.737%	0.0152
AC_WGS_32	1606	1.0	91.081	5.671%	18.564	1.845%	0.0208
AC_WGS_33	1522	0.999	225.116	14.791%	59.28	7.481%	0.0334
AC_WGS_34	1668	1.0	128.412	7.699%	35.764	3.382%	0.0234
AC_WGS_35	1362	1.0	58.708	4.31%	15.201	1.654%	0.0187
AC_WGS_36	1860	1.0	119.199	6.409%	31.068	2.745%	0.0184
AC_WGS_39	1833	1.0	106.471	5.809%	23.123	2.003%	0.0196
AC_WGS_40	1108	1.0	61.292	5.532%	15.515	2.221%	0.0259
AC_WGS_41	1550	0.999	133.737	8.628%	36.617	4.117%	0.0186
AC_WGS_42	1038	1.0	53.914	5.194%	15.227	2.287%	0.0193
AC_WGS_43	1426	1.0	52.394	3.674%	17.902	1.928%	0.0116
AC_WGS_45	1235	1.0	43.637	3.533%	12.514	1.511%	0.013
AC_WGS_46	1269	1.0	41.808	3.295%	10.742	1.303%	0.016
AC_WGS_49	1064	1.0	72.716	6.834%	13.951	2.223%	0.0335
AC_WGS_50	1136	0.999	143.48	12.63%	33.757	5.888%	0.0354
AC_WGS_51	1210	0.999	95.871	7.923%	32.064	4.26%	0.0196
AC_WGS_52	1077	0.999	104.888	9.739%	27.494	4.501%	0.0255
AC_WGS_53	985	1.0	45.17	4.586%	10.501	1.711%	0.0215
AC_WGS_11	1317	1.0	61.5	4.67%	11.005	1.403%	0.019
AC_WGS_37	1109	1.0	48.49	4.372%	11.429	1.595%	0.0226
RC596TH1	598	0.998	87.615	14.651%	21.418	7.197%	0.0624
RC597TH1	611	0.999	49.149	8.044%	14.303	4.249%	0.0337
RC598TH1	303	0.998	43.887	14.484%	12.969	8.42%	0.0658
RC599TH1	434	0.998	66.89	15.412%	13.725	7.456%	0.0663
RC602TH1	559	0.999	54.765	9.797%	16.483	5.68%	0.043
RC603TH1	1119	0.996	166.294	14.861%	37.502	9.486%	0.0361
