Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	811	1.0	105.444	13.002%	31.626	6.157%	0.0446
PGENE_2T	1005	0.999	246.144	24.492%	87.937	12.917%	0.1129
PGENE_4T	1075	1.0	100.034	9.305%	23.421	3.526%	0.0306
PGENE_5T	923	0.999	126.657	13.722%	30.047	6.095%	0.0453
PGENE_6T	775	0.999	167.714	21.641%	56.556	11.743%	0.0858
PGENE_8T	644	0.999	118.915	18.465%	36.235	9.756%	0.0635
PGENE_9T	956	0.999	216.86	22.684%	74.795	12.244%	0.0846
PGENE_10T	1095	0.999	256.069	23.385%	91.763	12.653%	0.0963
AC_WGS_1T	1451	1.0	150.25	10.355%	48.001	5.425%	0.0288
AC_WGS_2T	1549	0.999	206.676	13.343%	47.211	5.813%	0.0383
AC_WGS_4	1314	0.999	276.97	21.078%	96.584	11.575%	0.0693
AC_WGS_5	1520	1.0	97.633	6.423%	18.933	2.287%	0.0182
AC_WGS_6	1765	1.0	130.08	7.37%	36.346	3.379%	0.0181
AC_WGS_9T	1785	1.0	260.881	14.615%	93.469	7.894%	0.0397
AC_WGS_10	1203	0.999	154.062	12.806%	42.37	6.35%	0.0367
AC_WGS_44	1301	0.999	323.037	24.83%	112.182	12.818%	0.1139
AC_WGS_12	1070	0.999	177.477	16.587%	60.089	9.029%	0.0543
AC_WGS_13T	1273	1.0	99.596	7.824%	18.697	2.603%	0.0238
AC_WGS_15	1511	0.999	294.562	19.495%	97.918	9.998%	0.074
AC_WGS_17	1260	1.0	191.915	15.231%	65.942	8.318%	0.0507
AC_WGS_18T	1378	0.999	318.061	23.081%	111.056	12.454%	0.1004
AC_WGS_20T	1146	0.999	254.544	22.212%	87.931	11.991%	0.0993
AC_WGS_22	1036	1.0	107.127	10.34%	24.888	4.291%	0.0372
AC_WGS_23	1559	1.0	96.636	6.199%	17.355	2.04%	0.0227
AC_WGS_24	584	0.999	129.542	22.182%	43.277	12.09%	0.0957
AC_WGS_25	1288	0.999	245.356	19.049%	86.19	10.325%	0.0706
AC_WGS_26	1179	0.998	295.468	25.061%	102.522	13.823%	0.099
AC_WGS_27	1253	1.0	201.837	16.108%	67.023	8.709%	0.0524
AC_WGS_30	1358	1.0	153.117	11.275%	39.463	5.016%	0.0286
AC_WGS_31	1566	0.999	360.412	23.015%	133.056	12.451%	0.0914
AC_WGS_32	1606	1.0	153.58	9.563%	42.655	4.24%	0.025
AC_WGS_33	1522	1.0	186.271	12.239%	47.271	5.965%	0.0263
AC_WGS_34	1668	1.0	183.391	10.995%	60.667	5.736%	0.0299
AC_WGS_35	1362	0.999	282.762	20.761%	101.821	11.079%	0.0873
AC_WGS_36	1860	1.0	232.18	12.483%	74.876	6.616%	0.0337
AC_WGS_39	1833	1.0	190.108	10.371%	56.525	4.897%	0.0268
AC_WGS_40	1108	0.999	270.929	24.452%	90.369	12.937%	0.1094
AC_WGS_41	1550	1.0	83.662	5.398%	14.54	1.635%	0.0162
AC_WGS_42	1038	0.999	260.418	25.088%	88.906	13.351%	0.1072
AC_WGS_43	1426	0.999	312.781	21.934%	110.719	11.922%	0.0897
AC_WGS_45	1235	0.999	300.769	24.354%	108.185	13.065%	0.1087
AC_WGS_46	1269	0.999	281.466	22.18%	98.064	11.897%	0.0991
AC_WGS_49	1064	1.0	114.763	10.786%	32.702	5.212%	0.04
AC_WGS_50	1136	0.999	156.081	13.74%	35.606	6.21%	0.0376
AC_WGS_51	1210	0.999	223.658	18.484%	78.457	10.423%	0.0493
AC_WGS_52	1077	1.0	126.28	11.725%	36.752	6.016%	0.0302
AC_WGS_53	985	0.999	226.716	23.017%	77.034	12.553%	0.0851
AC_WGS_11	1317	1.0	191.052	14.507%	61.942	7.898%	0.0391
AC_WGS_37	1109	0.999	245.077	22.099%	85.785	11.972%	0.0821
RC596TH1	598	0.999	83.314	13.932%	17.796	5.98%	0.0568
RC597TH1	611	0.997	192.015	31.426%	58.02	17.235%	0.1394
RC598TH1	303	0.999	51.245	16.913%	11.862	7.701%	0.0791
RC599TH1	434	0.999	53.29	12.279%	9.457	5.137%	0.0516
RC602TH1	559	0.999	114.127	20.416%	30.918	10.654%	0.0717
RC603TH1	1119	0.999	79.11	7.07%	13.472	3.408%	0.0166
