Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	811	1.0	89.541	11.041%	24.457	4.762%	0.0394
PGENE_2T	1005	0.999	192.423	19.147%	69.029	10.14%	0.087
PGENE_4T	1075	1.0	84.601	7.87%	17.131	2.579%	0.0299
PGENE_5T	923	0.999	132.07	14.309%	32.256	6.543%	0.0488
PGENE_6T	775	0.999	151.613	19.563%	51.056	10.601%	0.078
PGENE_8T	644	0.999	121.225	18.824%	36.965	9.952%	0.0644
PGENE_9T	956	0.999	196.647	20.57%	67.126	10.989%	0.0758
PGENE_10T	1095	0.999	231.43	21.135%	82.835	11.422%	0.086
AC_WGS_1T	1451	1.0	119.816	8.257%	34.485	3.897%	0.025
AC_WGS_2T	1549	0.999	197.75	12.766%	43.635	5.373%	0.038
AC_WGS_4	1314	0.999	256.173	19.496%	88.962	10.662%	0.0627
AC_WGS_5	1520	1.0	95.707	6.297%	18.087	2.185%	0.0168
AC_WGS_6	1765	1.0	98.282	5.568%	22.39	2.082%	0.0159
AC_WGS_9T	1785	1.0	180.676	10.122%	62.509	5.279%	0.0273
AC_WGS_10	1203	0.999	153.496	12.759%	42.53	6.374%	0.0361
AC_WGS_44	1301	0.999	280.067	21.527%	96.624	11.041%	0.0974
AC_WGS_12	1070	0.999	131.507	12.29%	43.547	6.544%	0.041
AC_WGS_13T	1273	1.0	89.902	7.062%	16.201	2.256%	0.0223
AC_WGS_15	1511	1.0	236.677	15.664%	75.382	7.697%	0.0585
AC_WGS_17	1260	1.0	157.175	12.474%	53.348	6.73%	0.0419
AC_WGS_18T	1378	0.999	250.202	18.157%	88.041	9.873%	0.078
AC_WGS_20T	1146	0.999	219.953	19.193%	75.643	10.316%	0.0857
AC_WGS_22	1036	1.0	106.311	10.262%	24.472	4.22%	0.038
AC_WGS_23	1559	1.0	102.446	6.571%	18.159	2.134%	0.023
AC_WGS_24	584	0.999	109.77	18.796%	35.965	10.048%	0.0798
AC_WGS_25	1288	1.0	180.925	14.047%	63.647	7.624%	0.0514
AC_WGS_26	1179	0.998	228.17	19.353%	80.441	10.846%	0.0683
AC_WGS_27	1253	1.0	174.894	13.958%	56.668	7.363%	0.0453
AC_WGS_30	1358	1.0	138.715	10.215%	34.279	4.357%	0.0263
AC_WGS_31	1566	0.999	277.941	17.748%	103.284	9.665%	0.0671
AC_WGS_32	1606	1.0	118.131	7.356%	26.052	2.59%	0.021
AC_WGS_33	1522	1.0	178.164	11.706%	44.6	5.628%	0.0255
AC_WGS_34	1668	1.0	118.284	7.091%	31.674	2.995%	0.0224
AC_WGS_35	1362	1.0	228.321	16.764%	81.868	8.908%	0.0687
AC_WGS_36	1860	1.0	197.111	10.597%	60.111	5.312%	0.0297
AC_WGS_39	1833	1.0	147.475	8.046%	38.95	3.375%	0.0209
AC_WGS_40	1108	0.999	240.209	21.68%	79.617	11.398%	0.0966
AC_WGS_41	1550	1.0	95.549	6.164%	16.537	1.859%	0.0168
AC_WGS_42	1038	0.999	221.612	21.35%	75.352	11.315%	0.0887
AC_WGS_43	1426	1.0	253.664	17.788%	88.503	9.53%	0.07
AC_WGS_45	1235	0.999	262.178	21.229%	94.01	11.353%	0.0935
AC_WGS_46	1269	0.999	242.188	19.085%	83.874	10.175%	0.0845
AC_WGS_49	1064	1.0	95.173	8.945%	24.107	3.842%	0.0355
AC_WGS_50	1136	0.999	145.548	12.812%	32.775	5.716%	0.0352
AC_WGS_51	1210	0.999	203.969	16.857%	71.76	9.533%	0.0451
AC_WGS_52	1077	1.0	116.918	10.856%	33.835	5.539%	0.028
AC_WGS_53	985	0.999	201.689	20.476%	67.853	11.057%	0.0742
AC_WGS_11	1317	1.0	169.012	12.833%	52.918	6.747%	0.0344
AC_WGS_37	1109	0.999	212.902	19.198%	74.48	10.395%	0.0705
RC596TH1	598	0.999	77.433	12.949%	15.587	5.237%	0.0543
RC597TH1	611	0.997	181.941	29.778%	55.639	16.528%	0.1325
RC598TH1	303	0.999	47.241	15.591%	10.538	6.842%	0.0769
RC599TH1	434	0.999	51.654	11.902%	9.27	5.036%	0.0496
RC602TH1	559	0.999	108.652	19.437%	29.242	10.076%	0.0691
RC603TH1	1119	0.999	73.359	6.556%	12.716	3.217%	0.0155
