Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.834	9.18	91.8%	1.929	55.685%	0.8017
PGENE_2T	1	1.0	0.102	10.2%	0.052	5.2%	0.0522
PGENE_4T	118	0.999	17.608	14.922%	3.24	3.368%	0.121
PGENE_5T	4	0.695	5.306	132.65%	1.499	74.95%	1.4226
PGENE_8T	23	0.965	16.32	70.957%	3.168	34.773%	0.491
PGENE_9T	6	0.833	7.575	126.25%	2.095	66.25%	1.1691
PGENE_10T	5	0.823	5.821	116.42%	1.599	60.437%	1.0687
AC_WGS_1T	5	0.782	5.441	108.82%	1.648	62.289%	1.4502
AC_WGS_2T	231	1.0	7.965	3.448%	1.32	2.217%	0.0114
AC_WGS_4	20	0.994	8.783	43.915%	2.237	15.739%	0.3844
AC_WGS_5	215	1.0	2.911	1.354%	0.698	0.538%	0.0027
AC_WGS_6	30	0.925	19.196	63.987%	3.206	38.319%	0.5446
AC_WGS_9T	14	0.859	11.914	85.1%	2.519	53.705%	0.7338
AC_WGS_10	20	0.925	13.751	68.755%	2.574	37.952%	0.6787
AC_WGS_44	1	0.66	1.729	172.9%	0.878	87.8%	1.9975
AC_WGS_12	8	0.976	5.557	69.462%	1.586	33.814%	0.5103
AC_WGS_13T	11	0.685	11.854	107.764%	2.42	72.966%	1.1488
AC_WGS_15	3	0.955	3.308	110.267%	1.228	54.918%	0.8181
AC_WGS_17	18	0.943	12.752	70.844%	2.331	37.814%	0.533
AC_WGS_22	4	0.834	3.698	92.45%	1.167	58.35%	0.9424
AC_WGS_23	57	0.997	14.745	25.868%	2.746	8.619%	0.1724
AC_WGS_25	9	0.858	7.981	88.678%	1.892	52.475%	0.9665
AC_WGS_26	2	0.529	3.355	167.75%	1.241	87.752%	2.4086
AC_WGS_27	9	0.974	6.765	75.167%	1.713	35.719%	0.4904
AC_WGS_30	9	0.49	12.723	141.367%	2.908	87.679%	1.6842
AC_WGS_32	27	0.93	17.682	65.489%	2.981	38.168%	0.4648
AC_WGS_33	248	0.998	56.885	22.938%	9.053	6.604%	0.118
AC_WGS_34	24	0.902	15.988	66.617%	2.678	43.443%	0.5474
AC_WGS_35	1	1.0	0.102	10.2%	0.052	5.2%	0.0522
AC_WGS_36	13	0.895	9.812	75.477%	2.072	45.215%	0.7979
AC_WGS_39	9	0.865	8.701	96.678%	1.92	53.251%	0.9608
AC_WGS_41	39	0.951	24.917	63.89%	4.554	35.891%	0.4541
AC_WGS_49	9	0.871	7.363	81.811%	1.802	49.978%	0.8091
AC_WGS_50	59	0.935	30.198	51.183%	5.101	35.802%	0.3512
AC_WGS_51	15	0.98	9.481	63.207%	2.066	26.452%	0.4627
AC_WGS_52	19	0.973	14.273	75.121%	3.188	32.369%	0.5522
AC_WGS_53	6	0.882	6.147	102.45%	1.68	48.497%	1.2559
AC_WGS_11	12	0.785	11.192	93.267%	2.349	62.78%	0.8965
AC_WGS_37	6	0.87	7.067	117.783%	1.739	61.483%	0.9764
RC596TH1	10	0.772	9.669	96.69%	2.415	64.544%	0.953
RC597TH1	6	0.719	6.888	114.8%	1.724	70.382%	1.2449
RC598TH1	6	0.787	6.24	104.0%	1.744	61.66%	1.4126
RC599TH1	9	0.799	8.627	95.856%	1.998	60.242%	1.0285
RC602TH1	19	0.974	10.832	57.011%	2.072	23.312%	0.4944
RC603TH1	345	0.999	66.221	19.194%	12.233	5.634%	0.1015
