Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.621	13.674	136.74%	2.846	82.157%	1.6844
PGENE_2T	1	1.0	0.263	26.3%	0.134	13.4%	0.141
PGENE_4T	118	0.999	26.023	22.053%	5.284	5.492%	0.1669
PGENE_5T	4	0.607	5.462	136.55%	1.598	79.9%	1.5059
PGENE_8T	23	0.937	16.55	71.957%	3.287	36.08%	0.582
PGENE_9T	6	0.679	9.058	150.967%	2.499	79.025%	1.5746
PGENE_10T	5	0.611	7.552	151.04%	2.151	81.3%	1.4229
AC_WGS_1T	5	0.487	8.291	165.82%	2.317	87.574%	2.1913
AC_WGS_2T	231	0.997	21.119	9.142%	4.85	8.146%	0.0192
AC_WGS_4	20	0.992	10.192	50.96%	2.45	17.238%	0.4551
AC_WGS_5	215	1.0	5.092	2.368%	1.63	1.256%	0.0013
AC_WGS_6	30	0.91	20.346	67.82%	3.477	41.558%	0.5888
AC_WGS_9T	14	0.797	14.924	106.6%	2.989	63.726%	0.8676
AC_WGS_10	20	0.885	18.957	94.785%	3.216	47.417%	0.8955
AC_WGS_44	1	0.163	1.928	192.8%	0.988	98.8%	3.3225
AC_WGS_12	8	0.894	7.595	94.938%	2.176	46.392%	1.0007
AC_WGS_13T	11	0.555	14.456	131.418%	2.766	83.398%	1.5411
AC_WGS_15	3	0.896	2.434	81.133%	1.021	45.661%	1.1583
AC_WGS_17	18	0.899	16.562	92.011%	3.096	50.224%	0.6728
AC_WGS_22	4	0.658	5.044	126.1%	1.518	75.9%	1.3787
AC_WGS_23	57	0.994	22.148	38.856%	5.086	15.964%	0.2262
AC_WGS_25	9	0.73	11.316	125.733%	2.544	70.558%	1.2772
AC_WGS_26	2	0.763	1.937	96.85%	0.922	65.195%	1.1737
AC_WGS_27	9	0.91	9.863	109.589%	2.778	57.925%	0.8438
AC_WGS_30	9	0.33	14.114	156.822%	3.213	96.876%	2.6492
AC_WGS_32	27	0.773	26.259	97.256%	5.01	64.146%	0.8322
AC_WGS_33	248	1.0	20.823	8.396%	3.182	2.321%	0.0305
AC_WGS_34	24	0.791	22.329	93.038%	3.772	61.19%	0.7264
AC_WGS_35	1	1.0	0.263	26.3%	0.134	13.4%	0.141
AC_WGS_36	13	0.856	12.111	93.162%	2.434	53.114%	0.8837
AC_WGS_39	9	0.702	11.61	129.0%	2.598	72.056%	1.3375
AC_WGS_41	39	0.932	28.61	73.359%	5.149	40.58%	0.5198
AC_WGS_49	9	0.826	8.964	99.6%	2.114	58.632%	0.9245
AC_WGS_50	59	0.93	30.619	51.897%	5.274	37.016%	0.3244
AC_WGS_51	15	0.938	12.181	81.207%	2.793	35.761%	0.7866
AC_WGS_52	19	0.954	17.056	89.768%	3.952	40.126%	0.717
AC_WGS_53	6	0.87	5.729	95.483%	1.78	51.384%	1.4811
AC_WGS_11	12	0.604	14.766	123.05%	2.995	80.045%	1.1998
AC_WGS_37	6	0.824	6.356	105.933%	1.639	57.947%	1.0937
RC596TH1	10	0.519	13.624	136.24%	3.212	85.844%	1.6313
RC597TH1	6	0.483	8.806	146.767%	2.154	87.937%	1.953
RC598TH1	6	0.72	7.445	124.083%	2.073	73.292%	1.9851
RC599TH1	9	0.603	11.568	128.533%	2.65	79.901%	1.4626
RC602TH1	19	0.944	14.508	76.358%	3.044	34.248%	0.7146
RC603TH1	345	0.999	52.66	15.264%	12.513	5.763%	0.0477
