Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	3358	0.969	802.763	23.906%	112.575	24.84%	0.0481
PGENE_2T	78	0.836	60.64	77.744%	11.011	56.19%	0.5838
PGENE_4T	11503	0.99	2279.218	19.814%	457.878	14.503%	0.0359
PGENE_5T	3212	0.99	474.87	14.784%	67.035	14.067%	0.0221
PGENE_6T	611	0.957	174.897	28.625%	24.14	29.013%	0.0883
PGENE_8T	2561	0.993	358.91	14.014%	52.624	12.026%	0.019
PGENE_9T	856	0.945	237.71	27.77%	41.944	32.807%	0.0955
PGENE_10T	947	0.955	264.089	27.887%	36.676	29.757%	0.063
AC_WGS_1T	1819	0.986	311.236	17.11%	41.178	16.544%	0.0268
AC_WGS_2T	24682	1.0	369.55	1.497%	67.822	1.08%	0.0003
AC_WGS_4	2094	0.978	457.799	21.862%	72.267	21.037%	0.0382
AC_WGS_5	8904	0.99	1036.816	11.644%	205.779	14.549%	0.0144
AC_WGS_6	6623	0.976	1148.983	17.348%	184.119	21.981%	0.0363
AC_WGS_9T	3208	0.976	563.968	17.58%	92.521	22.001%	0.0303
AC_WGS_10	3908	0.946	917.388	23.475%	173.784	32.6%	0.0717
AC_WGS_44	36	0.584	47.053	130.703%	7.565	81.575%	1.2286
AC_WGS_12	1535	0.986	275.521	17.949%	40.754	16.462%	0.0376
AC_WGS_13T	10521	1.0	85.105	0.809%	22.238	0.743%	0.0
AC_WGS_15	1128	0.968	283.758	25.156%	38.022	24.91%	0.0532
AC_WGS_17	2824	0.995	359.96	12.746%	46.91	10.413%	0.0176
AC_WGS_18T	27	0.441	39.114	144.867%	7.774	89.766%	1.5774
AC_WGS_20T	45	0.604	50.322	111.827%	9.281	79.878%	1.094
AC_WGS_22	2804	0.986	470.299	16.772%	64.706	16.794%	0.025
AC_WGS_23	7865	0.991	981.969	12.485%	143.673	13.177%	0.0128
AC_WGS_24	92	0.686	81.127	88.182%	13.054	72.747%	0.7197
AC_WGS_25	1145	0.973	275.34	24.047%	36.5	23.049%	0.053
AC_WGS_26	734	0.959	201.986	27.519%	27.01	28.289%	0.0738
AC_WGS_27	1590	0.954	439.516	27.643%	69.96	30.157%	0.0696
AC_WGS_30	5311	0.968	997.633	18.784%	173.173	25.047%	0.0318
AC_WGS_31	35	0.567	44.113	126.037%	7.433	82.589%	1.1568
AC_WGS_32	4184	0.983	709.298	16.953%	100.415	18.818%	0.0237
AC_WGS_33	20315	0.997	1791.858	8.82%	331.415	8.334%	0.0071
AC_WGS_34	5428	0.984	1065.722	19.634%	194.234	18.163%	0.0295
AC_WGS_35	214	0.878	116.247	54.321%	16.031	47.859%	0.2988
AC_WGS_36	4092	0.99	647.365	15.82%	101.027	13.773%	0.021
AC_WGS_39	3772	0.985	604.823	16.035%	87.961	17.339%	0.0262
AC_WGS_40	31	0.424	44.381	143.165%	9.892	90.68%	1.6214
AC_WGS_41	10093	0.989	1469.637	14.561%	250.994	14.92%	0.018
AC_WGS_42	24	0.398	34.86	145.25%	8.412	91.782%	1.6758
AC_WGS_43	64	0.722	60.859	95.092%	8.595	69.26%	0.8008
AC_WGS_45	36	0.618	42.017	116.714%	6.804	79.095%	1.0688
AC_WGS_46	49	0.587	58.505	119.398%	8.684	80.979%	1.1014
AC_WGS_49	2314	0.991	375.437	16.225%	48.229	13.626%	0.0309
AC_WGS_50	8271	0.965	1562.821	18.895%	284.8	26.139%	0.0313
AC_WGS_51	1950	0.982	363.99	18.666%	50.237	18.741%	0.0323
AC_WGS_52	3902	0.988	555.08	14.226%	82.106	15.157%	0.0212
AC_WGS_53	580	0.975	155.182	26.756%	21.223	22.204%	0.0914
AC_WGS_11	3303	0.996	368.13	11.145%	50.338	9.232%	0.0136
AC_WGS_37	631	0.949	224.945	35.649%	33.454	31.881%	0.1301
RC596TH1	2476	0.989	480.475	19.405%	124.838	16.715%	0.0322
RC597TH1	1009	0.98	245.082	24.29%	47.641	22.237%	0.0602
RC598TH1	985	0.955	310.405	31.513%	47.281	30.023%	0.0851
RC599TH1	3205	0.971	685.956	21.403%	98.965	23.837%	0.0397
RC602TH1	1818	0.981	435.345	23.946%	64.353	20.114%	0.0667
RC603TH1	44688	0.999	2161.587	4.837%	384.517	3.487%	0.0036
