SampleName	Chr	Start	End	mak.num	median(logCN-1)
PGENE_1T	1	1	3669000	341	0.536948088339393
PGENE_1T	1	3669001	120267000	13973	0.260025655961456
PGENE_1T	1	120267001	123035433	68	1.5199192606225
PGENE_1T	1	123035434	146868000	137	1.40857600764255
PGENE_1T	1	146868001	149036000	3	1.64036642121597
PGENE_1T	1	149036001	149204000	0	1.98819385977822
PGENE_1T	1	149204001	152984000	396	1.36221737748717
PGENE_1T	1	152984001	153224000	163	1.65496247741685
PGENE_1T	1	153224001	153986000	83	1.38554147851952
PGENE_1T	1	153986001	156460000	331	1.64124543630784
PGENE_1T	1	156460001	157821000	281	1.12161225474119
PGENE_1T	1	157821001	158268000	131	1.40285858256035
PGENE_1T	1	158268001	158595000	260	1.10121303330662
PGENE_1T	1	158595001	158798000	110	1.64357916573171
PGENE_1T	1	158798001	161650000	241	1.38266725274504
PGENE_1T	1	161650001	163077000	197	1.63291960811781
PGENE_1T	1	163077001	165491000	359	1.40400388167386
PGENE_1T	1	165491001	165992000	97	0.672380080240613
PGENE_1T	1	165992001	168204000	156	1.08607039309845
PGENE_1T	1	168204001	169004000	118	0.727964006963646
PGENE_1T	1	169004001	169220000	29	1.12157910267499
PGENE_1T	1	169220001	170554000	171	1.39218001670781
PGENE_1T	1	170554001	170886000	47	1.07690108755726
PGENE_1T	1	170886001	171478000	102	1.35800233668023
PGENE_1T	1	171478001	171689000	10	1.60271816267466
PGENE_1T	1	171689001	172124000	195	1.35431110019902
PGENE_1T	1	172124001	173334000	150	1.08501667348871
PGENE_1T	1	173334001	175483000	121	1.4093909361377
PGENE_1T	1	175483001	177229000	147	1.13175409098481
PGENE_1T	1	177229001	177532000	2	1.40454894280617
PGENE_1T	1	177532001	178670000	141	1.79605778440083
PGENE_1T	1	178670001	179653000	327	1.61032209644204
PGENE_1T	1	179653001	180917000	67	1.38482345872975
PGENE_1T	1	180917001	181559000	122	1.114367024952
PGENE_1T	1	181559001	181809000	3	0.788100997912005
PGENE_1T	1	181809001	182802000	171	1.07412861494725
PGENE_1T	1	182802001	184430000	682	1.38722466201514
PGENE_1T	1	184430001	185473000	161	1.61499246688761
PGENE_1T	1	185473001	186458000	183	1.38529297364579
PGENE_1T	1	186458001	186648000	6	1.02750795682646
PGENE_1T	1	186648001	188541000	148	1.38653507018475
PGENE_1T	1	188541001	188751000	91	1.65188978988813
PGENE_1T	1	188751001	189397000	131	1.36602839915712
PGENE_1T	1	189397001	189724000	35	1.06533103806837
PGENE_1T	1	189724001	189850000	0	1.40078382255496
PGENE_1T	1	189850001	190082000	18	1.1171963291633
PGENE_1T	1	190082001	191398000	33	1.39086025213706
PGENE_1T	1	191398001	191637000	46	1.08426840530353
PGENE_1T	1	191637001	197483000	950	0.703410827978724
PGENE_1T	1	197483001	198343000	81	1.07234594375766
PGENE_1T	1	198343001	202898000	807	0.727223437287986
PGENE_1T	1	202898001	204493000	303	1.11199946330466
PGENE_1T	1	204493001	204924000	0	1.42658680880885
PGENE_1T	1	204924001	205353000	92	1.66209153819845
PGENE_1T	1	205353001	207424000	164	1.41191429306777
PGENE_1T	1	207424001	208735000	101	1.113967146433
PGENE_1T	1	208735001	212961000	622	0.702701865138381
PGENE_1T	1	212961001	213446000	43	1.05457067503243
PGENE_1T	1	213446001	213709000	19	1.39503537159448
PGENE_1T	1	213709001	214090000	28	1.12257333342339
PGENE_1T	1	214090001	214213000	50	1.42857122208527
PGENE_1T	1	214213001	214439000	0	1.09034534978346
PGENE_1T	1	214439001	214576000	0	0.705402920129728
PGENE_1T	1	214576001	218323000	595	1.10379974315767
PGENE_1T	1	218323001	219090000	119	0.712331647337378
PGENE_1T	1	219090001	222473000	418	1.09406712610872
PGENE_1T	1	222473001	228808000	678	0.712111499466277
PGENE_1T	1	228808001	231148000	284	1.09366158040362
PGENE_1T	1	231148001	235517000	764	0.707922294472298
PGENE_1T	1	235517001	237001000	332	1.05067582031712
PGENE_1T	1	237001001	239569000	599	1.37102908021549
PGENE_1T	1	239569001	239983000	89	1.61805067005334
PGENE_1T	1	239983001	241208000	356	1.36804193059477
PGENE_1T	1	241208001	242345000	232	1.60970769091829
PGENE_1T	1	242345001	245188000	242	1.40550230455354
PGENE_1T	1	245188001	245730000	151	1.63103441650757
PGENE_1T	1	245730001	249250621	482	1.39990934596295
PGENE_1T	2	1	93826170	14707	0.575360742460428
PGENE_1T	2	93826171	243199373	18438	0.572889668420581
PGENE_1T	3	1	24917000	4633	0.634686192669865
PGENE_1T	3	24917001	25295000	105	0.0542233473371545
PGENE_1T	3	25295001	50162000	3272	0.621571329326258
PGENE_1T	3	50162001	50697000	23	0.904773089664328
PGENE_1T	3	50697001	61218000	1376	0.630265668677728
PGENE_1T	3	61218001	76432000	2509	1.03994551568082
PGENE_1T	3	76432001	76612000	43	0.611880567102759
PGENE_1T	3	76612001	76844000	140	0.063640992642696
PGENE_1T	3	76844001	92004853	2422	0.629426567234402
PGENE_1T	3	92004854	188756000	15192	0.567204689951942
PGENE_1T	3	188756001	198022430	1307	1.10487337672602
PGENE_1T	4	1	1159000	50	1.32739994609742
PGENE_1T	4	1159001	1293000	0	0.710613602382677
PGENE_1T	4	1293001	51160116	7697	1.31159030230034
PGENE_1T	4	51160117	89495000	5503	0.971699885341384
PGENE_1T	4	89495001	181847000	14202	0.0299828662157144
PGENE_1T	4	181847001	182570000	118	-3.88790042022377
PGENE_1T	4	182570001	191154276	1943	0.0318186258263571
PGENE_1T	5	1	17087000	3490	0.624100894628114
