Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	3358	0.989	480.457	14.308%	67.702	14.939%	0.0205
PGENE_2T	78	0.857	60.684	77.8%	10.24	52.256%	0.5549
PGENE_4T	11503	0.999	743.337	6.462%	143.316	4.54%	0.0039
PGENE_5T	3212	0.992	431.351	13.429%	60.979	12.796%	0.0186
PGENE_6T	611	0.967	147.746	24.181%	21.355	25.666%	0.0689
PGENE_8T	2561	0.994	324.878	12.686%	47.08	10.759%	0.0168
PGENE_9T	856	0.977	184.83	21.592%	27.114	21.207%	0.0482
PGENE_10T	947	0.96	259.364	27.388%	34.617	28.086%	0.064
AC_WGS_1T	1819	0.988	288.874	15.881%	38.965	15.655%	0.0259
AC_WGS_2T	24682	1.0	94.555	0.383%	16.016	0.255%	0.0
AC_WGS_4	2094	0.991	342.758	16.369%	47.559	13.844%	0.0277
AC_WGS_5	8904	1.0	194.738	2.187%	29.057	2.054%	0.0005
AC_WGS_6	6623	0.997	425.205	6.42%	62.771	7.494%	0.0034
AC_WGS_9T	3208	0.985	473.376	14.756%	73.337	17.439%	0.0208
AC_WGS_10	3908	0.996	324.036	8.292%	46.902	8.798%	0.0061
AC_WGS_44	36	0.659	46.543	129.286%	7.131	76.896%	1.1428
AC_WGS_12	1535	0.991	236.067	15.379%	33.163	13.396%	0.0276
AC_WGS_13T	10521	1.0	55.627	0.529%	11.97	0.4%	0.0
AC_WGS_15	1128	0.975	251.812	22.324%	34.034	22.297%	0.0428
AC_WGS_17	2824	0.997	274.447	9.718%	35.389	7.856%	0.0121
AC_WGS_18T	27	0.548	39.327	145.656%	7.358	84.963%	1.4279
AC_WGS_20T	45	0.716	49.77	110.6%	8.39	72.21%	0.9525
AC_WGS_22	2804	0.988	444.195	15.841%	60.752	15.768%	0.0212
AC_WGS_23	7865	0.997	672.189	8.547%	90.725	8.321%	0.0078
AC_WGS_24	92	0.768	73.554	79.95%	11.665	65.007%	0.5749
AC_WGS_25	1145	0.981	226.558	19.787%	30.607	19.328%	0.0388
AC_WGS_26	734	0.962	198.146	26.995%	26.128	27.366%	0.0704
AC_WGS_27	1590	0.965	388.789	24.452%	60.427	26.048%	0.0528
AC_WGS_30	5311	0.995	386.834	7.284%	66.476	9.615%	0.0051
AC_WGS_31	35	0.671	40.726	116.36%	6.81	75.667%	1.0235
AC_WGS_32	4184	0.987	624.342	14.922%	88.176	16.524%	0.0181
AC_WGS_33	20315	0.998	1261.638	6.21%	229.802	5.779%	0.0054
AC_WGS_34	5428	0.995	604.871	11.144%	102.603	9.594%	0.0108
AC_WGS_35	214	0.893	111.037	51.886%	15.149	45.226%	0.2745
AC_WGS_36	4092	0.992	595.951	14.564%	90.965	12.402%	0.0179
AC_WGS_39	3772	0.994	415.69	11.02%	53.586	10.563%	0.0122
AC_WGS_40	31	0.6	43.625	140.726%	9.062	83.071%	1.4224
AC_WGS_41	10093	0.997	833.308	8.256%	120.778	7.179%	0.0066
AC_WGS_42	24	0.57	34.065	141.937%	7.788	84.974%	1.4526
AC_WGS_43	64	0.758	59.2	92.5%	8.133	65.538%	0.7466
AC_WGS_45	36	0.679	41.243	114.564%	6.41	74.515%	1.0202
AC_WGS_46	49	0.668	55.574	113.416%	8.031	74.889%	0.9888
AC_WGS_49	2314	0.992	345.526	14.932%	44.574	12.593%	0.0252
AC_WGS_50	8271	0.999	271.693	3.285%	36.996	3.395%	0.0011
AC_WGS_51	1950	0.988	315.418	16.175%	42.168	15.731%	0.0252
AC_WGS_52	3902	0.992	498.762	12.782%	70.442	13.003%	0.0172
AC_WGS_53	580	0.979	139.4	24.034%	19.325	20.218%	0.0849
AC_WGS_11	3303	0.996	349.119	10.57%	47.453	8.702%	0.0122
AC_WGS_37	631	0.963	196.755	31.181%	28.326	26.994%	0.1126
RC596TH1	2476	0.997	338.3	13.663%	68.685	9.196%	0.0167
RC597TH1	1009	0.992	184.229	18.259%	27.687	12.923%	0.0401
RC598TH1	985	0.977	216.638	21.994%	33.941	21.552%	0.059
RC599TH1	3205	0.983	548.391	17.11%	75.161	18.104%	0.0252
RC602TH1	1818	0.993	283.787	15.61%	38.709	12.099%	0.03
RC603TH1	44688	1.0	1195.895	2.676%	204.298	1.853%	0.0012
