Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.636	13.756	137.56%	2.751	79.415%	1.6359
PGENE_2T	1	1.0	0.17	17.0%	0.087	8.7%	0.089
PGENE_4T	118	0.999	18.977	16.082%	3.572	3.713%	0.1355
PGENE_5T	4	0.611	5.651	141.275%	1.605	80.25%	1.6289
PGENE_8T	23	0.948	15.621	67.917%	3.059	33.577%	0.5333
PGENE_9T	6	0.765	7.072	117.867%	2.227	70.424%	1.1154
PGENE_10T	5	0.811	6.185	123.7%	1.693	63.989%	1.0853
AC_WGS_1T	5	0.76	6.403	128.06%	1.757	66.408%	1.594
AC_WGS_2T	231	1.0	10.708	4.635%	1.831	3.075%	0.014
AC_WGS_4	20	0.992	9.114	45.57%	2.066	14.536%	0.4036
AC_WGS_5	215	1.0	3.464	1.611%	1.217	0.938%	0.0014
AC_WGS_6	30	0.921	19.255	64.183%	3.257	38.929%	0.5641
AC_WGS_9T	14	0.85	13.416	95.829%	2.683	57.202%	0.7674
AC_WGS_10	20	0.913	15.58	77.9%	2.788	41.107%	0.7623
AC_WGS_44	1	0.181	1.931	193.1%	0.983	98.3%	3.36
AC_WGS_12	8	0.963	6.435	80.438%	1.794	38.248%	0.6179
AC_WGS_13T	11	0.618	13.324	121.127%	2.612	78.755%	1.4182
AC_WGS_15	3	0.898	3.212	107.067%	1.18	52.771%	1.1784
AC_WGS_17	18	0.93	14.87	82.611%	2.675	43.394%	0.6029
AC_WGS_22	4	0.748	3.907	97.675%	1.334	66.7%	1.2139
AC_WGS_23	57	0.997	16.616	29.151%	3.46	10.86%	0.1811
AC_WGS_25	9	0.826	9.198	102.2%	2.078	57.633%	1.0775
AC_WGS_26	2	0.758	1.955	97.75%	0.93	65.761%	1.2406
AC_WGS_27	9	0.959	8.127	90.3%	2.187	45.602%	0.628
AC_WGS_30	9	0.371	13.911	154.567%	3.119	94.041%	2.3282
AC_WGS_32	27	0.929	17.413	64.493%	2.973	38.065%	0.4462
AC_WGS_33	248	0.999	38.807	15.648%	7.889	5.755%	0.0667
AC_WGS_34	24	0.877	17.077	71.154%	2.96	48.018%	0.5598
AC_WGS_35	1	1.0	0.17	17.0%	0.087	8.7%	0.089
AC_WGS_36	13	0.877	11.003	84.638%	2.236	48.794%	0.8593
AC_WGS_39	9	0.804	10.455	116.167%	2.244	62.237%	1.1288
AC_WGS_41	39	0.927	29.654	76.036%	5.395	42.519%	0.5401
AC_WGS_49	9	0.863	8.28	92.0%	1.901	52.724%	0.8591
AC_WGS_50	59	0.933	31.196	52.875%	5.228	36.693%	0.3361
AC_WGS_51	15	0.956	11.688	77.92%	2.723	34.864%	0.6639
AC_WGS_52	19	0.961	14.327	75.405%	3.13	31.78%	0.6657
AC_WGS_53	6	0.872	5.691	94.85%	1.733	50.027%	1.4658
AC_WGS_11	12	0.769	11.984	99.867%	2.392	63.929%	0.9426
AC_WGS_37	6	0.843	5.827	97.117%	1.55	54.801%	1.0318
RC596TH1	10	0.708	10.934	109.34%	2.645	70.691%	1.1393
RC597TH1	6	0.538	8.624	143.733%	2.07	84.507%	1.7431
RC598TH1	6	0.724	7.521	125.35%	2.06	72.832%	1.9667
RC599TH1	9	0.62	11.353	126.144%	2.605	78.544%	1.3926
RC602TH1	19	0.96	12.214	64.284%	2.555	28.746%	0.5981
RC603TH1	345	0.999	59.089	17.127%	11.754	5.413%	0.0692
