Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.621	13.926	139.26%	3.108	89.72%	1.6977
PGENE_2T	1	0.999	0.312	31.2%	0.159	15.9%	0.1696
PGENE_4T	118	0.999	28.726	24.344%	5.769	5.996%	0.1851
PGENE_5T	4	0.602	5.505	137.625%	1.606	80.3%	1.5211
PGENE_8T	23	0.886	21.073	91.622%	4.339	47.627%	0.7383
PGENE_9T	6	0.675	9.273	154.55%	2.534	80.132%	1.564
PGENE_10T	5	0.457	8.333	166.66%	2.356	89.048%	1.8984
AC_WGS_1T	5	0.424	8.548	170.96%	2.396	90.56%	2.3092
AC_WGS_2T	231	0.995	24.19	10.472%	6.138	10.309%	0.0254
AC_WGS_4	20	0.991	11.265	56.325%	2.772	19.504%	0.4777
AC_WGS_5	215	1.0	6.056	2.817%	2.128	1.64%	0.002
AC_WGS_6	30	0.908	21.401	71.337%	3.532	42.215%	0.6047
AC_WGS_9T	14	0.793	15.02	107.286%	3.002	64.003%	0.8687
AC_WGS_10	20	0.888	18.701	93.505%	3.189	47.019%	0.8697
AC_WGS_44	1	0.17	1.926	192.6%	0.987	98.7%	3.3033
AC_WGS_12	8	0.885	7.88	98.5%	2.262	48.226%	1.0448
AC_WGS_13T	11	0.547	14.642	133.109%	2.788	84.061%	1.5521
AC_WGS_15	3	0.896	2.529	84.3%	1.035	46.287%	1.187
AC_WGS_17	18	0.894	15.965	88.694%	2.913	47.255%	0.6888
AC_WGS_22	4	0.644	5.132	128.3%	1.54	77.0%	1.4314
AC_WGS_23	57	0.987	27.736	48.66%	5.392	16.925%	0.366
AC_WGS_25	9	0.738	10.397	115.522%	2.449	67.923%	1.2386
AC_WGS_26	2	0.765	2.017	100.85%	0.926	65.478%	1.1917
AC_WGS_27	9	0.761	11.473	127.478%	3.522	73.439%	1.0612
AC_WGS_30	9	0.331	13.984	155.378%	3.223	97.177%	2.6449
AC_WGS_32	27	0.782	25.638	94.956%	4.934	63.173%	0.8075
AC_WGS_33	248	1.0	29.052	11.715%	5.34	3.895%	0.0417
AC_WGS_34	24	0.768	23.283	97.012%	3.947	64.029%	0.7987
AC_WGS_35	1	0.999	0.312	31.2%	0.159	15.9%	0.1696
AC_WGS_36	13	0.742	14.613	112.408%	3.098	67.604%	1.0584
AC_WGS_39	9	0.709	12.069	134.1%	2.615	72.527%	1.3508
AC_WGS_41	39	0.916	30.292	77.672%	5.551	43.748%	0.5618
AC_WGS_49	9	0.721	10.548	117.2%	2.508	69.559%	1.2381
AC_WGS_50	59	0.909	34.968	59.268%	5.972	41.915%	0.3698
AC_WGS_51	15	0.936	12.673	84.487%	2.892	37.028%	0.8153
AC_WGS_52	19	0.95	15.866	83.505%	3.366	34.177%	0.7384
AC_WGS_53	6	0.87	5.821	97.017%	2.103	60.708%	1.6059
AC_WGS_11	12	0.572	15.183	126.525%	3.088	82.53%	1.3087
AC_WGS_37	6	0.81	6.651	110.85%	1.695	59.927%	1.1606
RC596TH1	10	0.474	14.258	142.58%	3.313	88.544%	1.6943
RC597TH1	6	0.482	8.828	147.133%	2.152	87.855%	1.9422
RC598TH1	6	0.719	7.622	127.033%	2.407	85.1%	2.0699
RC599TH1	9	0.522	12.62	140.222%	2.832	85.388%	1.7018
RC602TH1	19	0.945	13.725	72.237%	2.925	32.909%	0.7105
RC603TH1	345	1.0	48.743	14.128%	10.595	4.88%	0.0438
