Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	3358	0.987	527.118	15.697%	72.548	16.008%	0.0242
PGENE_2T	78	0.847	61.639	79.024%	10.523	53.7%	0.5665
PGENE_4T	11503	0.999	738.803	6.423%	135.569	4.294%	0.0041
PGENE_5T	3212	0.992	427.181	13.3%	61.59	12.924%	0.0188
PGENE_6T	611	0.966	148.04	24.229%	21.597	25.957%	0.0689
PGENE_8T	2561	0.994	330.881	12.92%	48.132	10.999%	0.017
PGENE_9T	856	0.975	196.235	22.925%	28.687	22.438%	0.0545
PGENE_10T	947	0.957	264.794	27.961%	35.665	28.937%	0.0651
AC_WGS_1T	1819	0.988	286.656	15.759%	38.604	15.51%	0.0257
AC_WGS_2T	24682	1.0	87.502	0.355%	14.676	0.234%	0.0
AC_WGS_4	2094	0.991	334.281	15.964%	46.103	13.421%	0.0262
AC_WGS_5	8904	1.0	220.272	2.474%	32.838	2.322%	0.0006
AC_WGS_6	6623	0.995	525.511	7.935%	87.711	10.472%	0.0061
AC_WGS_9T	3208	0.984	491.376	15.317%	74.776	17.782%	0.0215
AC_WGS_10	3908	0.996	349.831	8.952%	50.032	9.386%	0.0073
AC_WGS_44	36	0.664	45.701	126.947%	7.066	76.195%	1.1302
AC_WGS_12	1535	0.989	249.29	16.24%	36.215	14.628%	0.0334
AC_WGS_13T	10521	1.0	79.497	0.756%	21.608	0.722%	0.0001
AC_WGS_15	1128	0.975	254.043	22.522%	34.314	22.481%	0.0432
AC_WGS_17	2824	0.997	277.413	9.823%	36.29	8.056%	0.0124
AC_WGS_18T	27	0.563	38.653	143.159%	7.261	83.843%	1.3848
AC_WGS_20T	45	0.7	49.143	109.207%	8.473	72.924%	0.9867
AC_WGS_22	2804	0.985	485.481	17.314%	65.885	17.1%	0.0241
AC_WGS_23	7865	0.996	717.682	9.125%	94.766	8.691%	0.0082
AC_WGS_24	92	0.775	72.292	78.578%	11.483	63.992%	0.5522
AC_WGS_25	1145	0.981	231.482	20.217%	31.196	19.7%	0.04
AC_WGS_26	734	0.962	197.913	26.964%	26.207	27.448%	0.0704
AC_WGS_27	1590	0.967	388.877	24.458%	59.012	25.438%	0.0512
AC_WGS_30	5311	0.994	465.162	8.758%	75.201	10.877%	0.0072
AC_WGS_31	35	0.63	42.096	120.274%	7.062	78.467%	1.0948
AC_WGS_32	4184	0.985	692.752	16.557%	93.679	17.556%	0.0217
AC_WGS_33	20315	0.998	1338.767	6.59%	257.7	6.481%	0.0068
AC_WGS_34	5428	0.995	626.217	11.537%	107.675	10.069%	0.0111
AC_WGS_35	214	0.89	112.193	52.427%	15.343	45.805%	0.2804
AC_WGS_36	4092	0.993	581.15	14.202%	86.853	11.841%	0.017
AC_WGS_39	3772	0.992	470.005	12.46%	65.245	12.861%	0.0161
AC_WGS_40	31	0.608	42.918	138.445%	8.876	81.366%	1.3214
AC_WGS_41	10093	0.997	961.902	9.53%	138.32	8.222%	0.0086
AC_WGS_42	24	0.559	34.334	143.058%	7.78	84.887%	1.4364
AC_WGS_43	64	0.758	58.776	91.838%	8.114	65.384%	0.7497
AC_WGS_45	36	0.677	40.158	111.55%	6.417	74.596%	0.9794
AC_WGS_46	49	0.656	56.979	116.284%	8.132	75.831%	1.0018
AC_WGS_49	2314	0.993	336.969	14.562%	43.256	12.221%	0.0246
AC_WGS_50	8271	0.999	306.981	3.712%	41.061	3.769%	0.0015
AC_WGS_51	1950	0.988	316.893	16.251%	42.142	15.721%	0.0256
AC_WGS_52	3902	0.992	488.877	12.529%	68.577	12.659%	0.0168
AC_WGS_53	580	0.979	140.998	24.31%	19.393	20.289%	0.0855
AC_WGS_11	3303	0.996	347.956	10.535%	47.026	8.624%	0.0123
AC_WGS_37	631	0.965	192.294	30.474%	27.64	26.341%	0.1095
RC596TH1	2476	0.996	352.257	14.227%	73.073	9.784%	0.0175
RC597TH1	1009	0.993	172.282	17.075%	26.113	12.189%	0.0372
RC598TH1	985	0.973	233.081	23.663%	36.492	23.172%	0.0639
RC599TH1	3205	0.979	603.792	18.839%	83.785	20.181%	0.0319
RC602TH1	1818	0.992	288.05	15.844%	39.661	12.396%	0.0308
RC603TH1	44688	1.0	1185.387	2.653%	208.6	1.892%	0.0011
