Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	811	0.997	123.217	15.193%	46.88	9.127%	0.0426
PGENE_2T	1005	0.997	195.045	19.407%	88.567	13.009%	0.0785
PGENE_4T	1075	0.997	149.9	13.944%	50.016	7.531%	0.0357
PGENE_5T	923	0.991	221.428	23.99%	93.132	18.891%	0.0721
PGENE_6T	775	0.999	80.667	10.409%	23.967	4.976%	0.0447
PGENE_8T	644	0.995	122.351	18.999%	41.863	11.271%	0.0574
PGENE_9T	956	0.999	129.986	13.597%	43.408	7.106%	0.0443
PGENE_10T	1095	0.998	182.485	16.665%	78.238	10.788%	0.0543
AC_WGS_1T	1451	1.0	97.883	6.746%	25.227	2.851%	0.021
AC_WGS_2T	1549	0.995	401.833	25.941%	146.081	17.988%	0.11
AC_WGS_4	1314	0.999	164.765	12.539%	56.017	6.714%	0.0336
AC_WGS_5	1520	0.998	336.187	22.118%	101.371	12.245%	0.074
AC_WGS_6	1765	0.998	174.608	9.893%	61.003	5.671%	0.0182
AC_WGS_9T	1785	0.994	323.878	18.144%	161.716	13.658%	0.0324
AC_WGS_10	1203	0.996	204.07	16.963%	86.373	12.944%	0.04
AC_WGS_44	1301	0.999	222.584	17.109%	102.154	11.673%	0.0782
AC_WGS_12	1070	0.999	119.733	11.19%	37.433	5.625%	0.034
AC_WGS_13T	1273	0.999	164.981	12.96%	57.345	7.984%	0.0375
AC_WGS_15	1511	0.999	199.861	13.227%	80.777	8.248%	0.0481
AC_WGS_17	1260	1.0	96.726	7.677%	39.209	4.946%	0.0264
AC_WGS_18T	1378	0.999	220.436	15.997%	76.229	8.548%	0.0644
AC_WGS_20T	1146	1.0	155.664	13.583%	48.664	6.636%	0.0628
AC_WGS_22	1036	0.998	152.001	14.672%	55.883	9.636%	0.0483
AC_WGS_23	1559	0.999	259.316	16.633%	96.148	11.3%	0.0507
AC_WGS_24	584	0.996	86.505	14.812%	31.146	8.701%	0.0659
AC_WGS_25	1288	0.999	181.084	14.059%	72.272	8.658%	0.0447
AC_WGS_26	1179	0.996	193.307	16.396%	72.814	9.817%	0.0563
AC_WGS_27	1253	1.0	92.107	7.351%	21.854	2.84%	0.0265
AC_WGS_30	1358	0.999	164.812	12.136%	47.472	6.034%	0.0358
AC_WGS_31	1566	0.997	298.233	19.044%	149.633	14.003%	0.0627
AC_WGS_32	1606	0.998	211.827	13.19%	79.632	7.916%	0.0262
AC_WGS_33	1522	0.995	378.929	24.897%	150.02	18.931%	0.1051
AC_WGS_34	1668	0.997	209.655	12.569%	91.808	8.681%	0.0261
AC_WGS_35	1362	0.998	244.627	17.961%	116.416	12.667%	0.0613
AC_WGS_36	1860	0.999	133.91	7.199%	41.504	3.667%	0.0193
AC_WGS_39	1833	0.997	248.577	13.561%	95.608	8.283%	0.0251
AC_WGS_40	1108	0.999	163.526	14.759%	46.128	6.604%	0.0654
AC_WGS_41	1550	0.998	231.902	14.961%	69.178	7.777%	0.0406
AC_WGS_42	1038	0.999	167.65	16.151%	51.058	7.667%	0.0668
AC_WGS_43	1426	0.999	196.985	13.814%	77.62	8.358%	0.0553
AC_WGS_45	1235	0.999	200.11	16.203%	92.519	11.173%	0.0707
AC_WGS_46	1269	1.0	177.34	13.975%	64.937	7.878%	0.0619
AC_WGS_49	1064	1.0	87.275	8.203%	23.6	3.761%	0.0341
AC_WGS_50	1136	0.991	317.34	27.935%	139.975	24.413%	0.1108
AC_WGS_51	1210	0.999	117.343	9.698%	39.618	5.263%	0.0218
AC_WGS_52	1077	0.998	148.59	13.797%	55.67	9.113%	0.0345
AC_WGS_53	985	0.998	138.445	14.055%	45.228	7.37%	0.0522
AC_WGS_11	1317	0.999	111.288	8.45%	32.143	4.098%	0.0213
AC_WGS_37	1109	1.0	145.506	13.12%	51.971	7.253%	0.0471
RC596TH1	598	0.932	266.34	44.538%	136.081	45.724%	0.1401
RC597TH1	611	0.931	281.439	46.062%	134.622	39.991%	0.1525
RC598TH1	303	0.928	139.108	45.91%	69.77	45.299%	0.1561
RC599TH1	434	0.857	274.066	63.149%	140.301	76.215%	0.2756
RC602TH1	559	0.913	271.641	48.594%	138.16	47.607%	0.1496
RC603TH1	1119	0.951	833.88	74.52%	321.24	81.259%	0.5201
