Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.617	14.15	141.5%	3.037	87.671%	1.784
PGENE_2T	1	1.0	0.201	20.1%	0.102	10.2%	0.1057
PGENE_4T	118	0.999	19.445	16.479%	3.474	3.611%	0.1458
PGENE_5T	4	0.609	5.671	141.775%	1.608	80.4%	1.6234
PGENE_8T	23	0.948	14.083	61.23%	2.925	32.106%	0.4989
PGENE_9T	6	0.74	7.381	123.017%	2.298	72.669%	1.1968
PGENE_10T	5	0.786	6.522	130.44%	1.789	67.618%	1.1556
AC_WGS_1T	5	0.726	6.993	139.86%	1.879	71.02%	1.7945
AC_WGS_2T	231	0.999	13.189	5.71%	2.473	4.154%	0.0137
AC_WGS_4	20	0.992	10.603	53.015%	2.753	19.37%	0.4404
AC_WGS_5	215	1.0	3.582	1.666%	0.898	0.692%	0.0021
AC_WGS_6	30	0.921	19.386	64.62%	3.272	39.108%	0.566
AC_WGS_9T	14	0.823	13.945	99.607%	2.814	59.995%	0.817
AC_WGS_10	20	0.905	16.711	83.555%	2.921	43.068%	0.8046
AC_WGS_44	1	0.15	1.938	193.8%	0.99	99.0%	3.4678
AC_WGS_12	8	0.957	7.093	88.662%	1.939	41.34%	0.6899
AC_WGS_13T	11	0.602	13.526	122.964%	2.656	80.081%	1.4593
AC_WGS_15	3	0.896	2.002	66.733%	0.991	44.319%	1.2494
AC_WGS_17	18	0.915	15.908	88.378%	2.885	46.801%	0.6497
AC_WGS_22	4	0.748	4.197	104.925%	1.346	67.3%	1.2225
AC_WGS_23	57	0.997	16.854	29.568%	3.317	10.411%	0.1846
AC_WGS_25	9	0.784	10.7	118.889%	2.369	65.704%	1.1631
AC_WGS_26	2	0.761	1.989	99.45%	0.929	65.69%	1.2161
AC_WGS_27	9	0.948	8.738	97.089%	2.432	50.711%	0.6933
AC_WGS_30	9	0.357	13.712	152.356%	3.173	95.67%	2.331
AC_WGS_32	27	0.812	26.301	97.411%	4.749	60.805%	0.763
AC_WGS_33	248	0.999	37.815	15.248%	6.439	4.697%	0.0633
AC_WGS_34	24	0.877	17.046	71.025%	2.965	48.099%	0.5796
AC_WGS_35	1	1.0	0.201	20.1%	0.102	10.2%	0.1057
AC_WGS_36	13	0.876	11.095	85.346%	2.252	49.143%	0.8473
AC_WGS_39	9	0.8	10.591	117.678%	2.269	62.931%	1.1332
AC_WGS_41	39	0.931	28.777	73.787%	5.122	40.367%	0.5235
AC_WGS_49	9	0.851	8.732	97.022%	1.986	55.082%	0.9059
AC_WGS_50	59	0.937	30.184	51.159%	5.077	35.634%	0.3208
AC_WGS_51	15	0.945	14.234	94.893%	3.285	42.06%	0.7968
AC_WGS_52	19	0.96	14.871	78.268%	3.229	32.786%	0.6642
AC_WGS_53	6	0.869	5.877	97.95%	2.393	69.08%	1.7778
AC_WGS_11	12	0.769	12.025	100.208%	2.391	63.902%	0.9455
AC_WGS_37	6	0.821	6.99	116.5%	1.787	63.18%	1.0863
RC596TH1	10	0.702	10.993	109.93%	2.669	71.332%	1.1463
RC597TH1	6	0.492	8.875	147.917%	2.134	87.12%	1.9015
RC598TH1	6	0.717	7.71	128.5%	2.656	93.904%	2.1534
RC599TH1	9	0.629	11.219	124.656%	2.583	77.88%	1.3402
RC602TH1	19	0.96	12.699	66.837%	2.595	29.196%	0.6049
RC603TH1	345	0.999	64.23	18.617%	17.058	7.856%	0.0637
