Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	811	1.0	55.673	6.865%	13.188	2.568%	0.0363
PGENE_2T	1005	1.0	49.263	4.902%	17.571	2.581%	0.0163
PGENE_4T	1075	1.0	74.234	6.905%	14.399	2.168%	0.028
PGENE_5T	923	0.998	144.168	15.62%	36.381	7.38%	0.0498
PGENE_6T	775	1.0	79.08	10.204%	23.133	4.803%	0.041
PGENE_8T	644	0.998	124.874	19.39%	39.744	10.7%	0.0665
PGENE_9T	956	0.999	117.28	12.268%	36.809	6.026%	0.0437
PGENE_10T	1095	1.0	134.564	12.289%	46.251	6.377%	0.0487
AC_WGS_1T	1451	1.0	63.189	4.355%	10.749	1.215%	0.0183
AC_WGS_2T	1549	0.999	196.155	12.663%	43.887	5.404%	0.0383
AC_WGS_4	1314	0.999	160.96	12.25%	55.553	6.658%	0.0373
AC_WGS_5	1520	1.0	110.862	7.294%	21.39	2.584%	0.0182
AC_WGS_6	1765	1.0	70.441	3.991%	12.351	1.148%	0.0143
AC_WGS_9T	1785	1.0	105.693	5.921%	27.453	2.319%	0.0173
AC_WGS_10	1203	0.999	120.489	10.016%	27.259	4.085%	0.032
AC_WGS_44	1301	1.0	68.894	5.295%	19.835	2.266%	0.021
AC_WGS_12	1070	0.999	86.597	8.093%	24.965	3.751%	0.0282
AC_WGS_13T	1273	1.0	100.32	7.881%	21.595	3.007%	0.023
AC_WGS_15	1511	1.0	70.729	4.681%	15.176	1.55%	0.0242
AC_WGS_17	1260	1.0	58.102	4.611%	12.062	1.522%	0.0204
AC_WGS_18T	1378	0.999	85.826	6.228%	30.071	3.372%	0.0182
AC_WGS_20T	1146	1.0	42.399	3.7%	9.28	1.266%	0.0184
AC_WGS_22	1036	1.0	94.62	9.133%	18.317	3.158%	0.0379
AC_WGS_23	1559	1.0	110.273	7.073%	21.167	2.488%	0.0253
AC_WGS_24	584	1.0	29.402	5.035%	7.602	2.124%	0.0293
AC_WGS_25	1288	1.0	69.413	5.389%	19.668	2.356%	0.0224
AC_WGS_26	1179	0.997	115.936	9.833%	53.997	7.28%	0.0283
AC_WGS_27	1253	1.0	72.499	5.786%	16.143	2.098%	0.0229
AC_WGS_30	1358	1.0	118.859	8.753%	26.944	3.425%	0.0258
AC_WGS_31	1566	1.0	74.176	4.737%	24.591	2.301%	0.0138
AC_WGS_32	1606	1.0	81.227	5.058%	13.753	1.367%	0.0175
AC_WGS_33	1522	0.999	209.856	13.788%	50.545	6.378%	0.0355
AC_WGS_34	1668	1.0	120.852	7.245%	30.298	2.865%	0.0237
AC_WGS_35	1362	1.0	66.618	4.891%	17.63	1.918%	0.0209
AC_WGS_36	1860	1.0	120.346	6.47%	26.618	2.352%	0.0216
AC_WGS_39	1833	1.0	87.08	4.751%	16.836	1.459%	0.0165
AC_WGS_40	1108	1.0	75.065	6.775%	19.871	2.845%	0.0312
AC_WGS_41	1550	1.0	133.578	8.618%	29.688	3.338%	0.0218
AC_WGS_42	1038	1.0	42.419	4.087%	10.886	1.635%	0.0182
AC_WGS_43	1426	1.0	45.624	3.199%	12.417	1.337%	0.0115
AC_WGS_45	1235	1.0	72.149	5.842%	24.039	2.903%	0.0238
AC_WGS_46	1269	1.0	61.856	4.874%	16.19	1.964%	0.0226
AC_WGS_49	1064	1.0	63.091	5.93%	11.679	1.861%	0.0327
AC_WGS_50	1136	0.999	135.018	11.885%	29.45	5.136%	0.0356
AC_WGS_51	1210	0.999	120.994	10.0%	39.863	5.296%	0.0254
AC_WGS_52	1077	1.0	93.457	8.678%	24.349	3.986%	0.0255
AC_WGS_53	985	1.0	38.572	3.916%	9.195	1.498%	0.0198
AC_WGS_11	1317	1.0	55.024	4.178%	9.6	1.224%	0.018
AC_WGS_37	1109	1.0	55.726	5.025%	15.167	2.117%	0.0228
RC596TH1	598	0.999	63.566	10.63%	12.826	4.31%	0.0525
RC597TH1	611	0.999	86.378	14.137%	26.44	7.854%	0.0598
RC598TH1	303	0.999	34.31	11.323%	8.41	5.46%	0.0614
RC599TH1	434	0.999	52.928	12.195%	9.494	5.157%	0.0543
RC602TH1	559	1.0	43.899	7.853%	10.355	3.568%	0.0372
RC603TH1	1119	0.997	162.506	14.522%	34.49	8.724%	0.0312
